epoch:25	trainacc=0.9850279329608939	trainloss=0.04169083714883831	acc=0.9633152173913043	prec=0.973172987974098	recall=0.9528985507246377	f1=0.962929061784897	auc=0.9633152173913044	spec=0.9737318840579711	mcc=0.9268315919400381
epoch:26	trainacc=0.9853631284916201	trainloss=0.04392923140734436	acc=0.9642210144927537	prec=0.9759481961147086	recall=0.9521660649819494	f1=0.9639104613978986	auc=0.9642648506727928	spec=0.9763636363636363	mcc=0.9287251748272528
epoch:27	trainacc=0.9884916201117319	trainloss=0.029796586756127015	acc=0.9728260869565217	prec=0.9745685740236149	recall=0.9710407239819004	f1=0.9728014505893018	auc=0.9728277055992912	spec=0.9746146872166818	mcc=0.945658514737894
epoch:28	trainacc=0.9912849162011174	trainloss=0.02287144287229819	acc=0.96875	prec=0.9684968496849685	recall=0.9693693693693693	f1=0.9689329131022062	auc=0.9687466154679268	spec=0.9681238615664846	mcc=0.9374982308166774
epoch:29	trainacc=0.9893854748603352	trainloss=0.027658787948161942	acc=0.970108695652174	prec=0.9666064981949458	recall=0.9736363636363636	f1=0.9701086956521738	auc=0.9701214309156547	spec=0.9666064981949458	mcc=0.9402428618313095
epoch:30	trainacc=0.9853631284916201	trainloss=0.043083312219887544	acc=0.9637681159420289	prec=0.9662716499544212	recall=0.9610154125113327	f1=0.9636363636363636	auc=0.9637656248077026	spec=0.9665158371040724	mcc=0.9275495144115601
epoch:31	trainacc=0.9849162011173185	trainloss=0.048488656533629056	acc=0.9624094202898551	prec=0.967032967032967	recall=0.957388939256573	f1=0.9621867881548976	auc=0.9624048768681054	spec=0.967420814479638	mcc=0.9248640111227331
epoch:32	trainacc=0.9900558659217877	trainloss=0.029991367886031937	acc=0.96875	prec=0.9769372693726938	recall=0.9601087941976428	f1=0.9684499314128944	auc=0.9687421799042512	spec=0.9773755656108597	mcc=0.9376378482890866
epoch:33	trainacc=0.9905027932960894	trainloss=0.024890352139854986	acc=0.9692028985507246	prec=0.970108695652174	recall=0.9683544303797469	f1=0.9692307692307692	auc=0.9692044384203635	spec=0.97005444646098	mcc=0.9384073369698247
epoch:34	trainacc=0.9878212290502794	trainloss=0.03482388871184132	acc=0.9646739130434783	prec=0.9698354661791591	recall=0.9593128390596745	f1=0.9645454545454546	auc=0.9646836427603273	spec=0.97005444646098	mcc=0.929403888594093
epoch:35	trainacc=0.9851396648044692	trainloss=0.03672768968704987	acc=0.9651268115942029	prec=0.9572192513368984	recall=0.9737080689029919	f1=0.9653932584269664	auc=0.9651345774379214	spec=0.9565610859728507	mcc=0.9303924453968001
epoch:36	trainacc=0.9867039106145251	trainloss=0.04188213199171493	acc=0.9660326086956522	prec=0.9630630630630631	recall=0.9691749773345422	f1=0.9661093538183462	auc=0.9660354524681761	spec=0.96289592760181	mcc=0.932084288093062
epoch:37	trainacc=0.9900558659217877	trainloss=0.025215434405129196	acc=0.96875	prec=0.9664551223934723	recall=0.970856102003643	f1=0.9686506133575647	auc=0.9687613843351548	spec=0.9666666666666667	mcc=0.937509307426201
epoch:38	trainacc=0.9905027932960894	trainloss=0.026782151615891342	acc=0.9633152173913043	prec=0.976679104477612	recall=0.9492293744333635	f1=0.9627586206896551	auc=0.9633024700221117	spec=0.9773755656108597	mcc=0.9269940532359873
epoch:39	trainacc=0.9873743016759776	trainloss=0.032882612794818085	acc=0.9651268115942029	prec=0.9733210671573137	recall=0.9566003616636528	f1=0.9648882808937528	auc=0.9651422860949843	spec=0.9736842105263158	mcc=0.930393357470097
